"Date","Total Death"
"April 5","1584"
"April 4","1444"
"April 3","1275"
"April 2","1107"
"April 1","931"
"March 31","775"
"March 30","645"
"March 29","541"
"March 28","433"
"March 27","351"
"March 26","267"
"March 25","206"
"March 24","159"
"March 23","123"
"March 22","94"
"March 21","84"
"March 20","68"
"March 19","44"
"March 18","28"
"March 17","26"
"March 16","17"
"March 15","13"
"March 14","9"
"March 13","8"
