"Date","Total Death"
"April 5","9622"
"April 4","8457"
"April 3","7127"
"April 2","6081"
"April 1","5107"
"March 31","4057"
"March 30","3143"
"March 29","2585"
"March 28","2222"
"March 27","1697"
"March 26","1296"
"March 25","1028"
"March 24","781"
"March 23","556"
"March 22","414"
"March 21","301"
"March 20","255"
"March 19","206"
"March 18","150"
"March 17","110"
"March 16","87"
"March 15","69"
"March 14","57"
"March 13","48"

