"Date","Total Death"
"April 5","15887"
"April 4","15362"
"April 3","14681"
"April 2","13915"
"April 1","13155"
"March 31","12498"
"March 30","11591"
"March 29","10779"
"March 28","10023"
"March 27","9134"
"March 26","8215"
"March 25","7503"
"March 24","6820"
"March 23","6077"
"March 22","5476"
"March 21","4825"
"March 20","4032"
"March 19","3405"
"March 18","2978"
"March 17","2503"
"March 16","2158"
"March 15","1809"
"March 14","1441"
"March 13","1266"
