"Date","Corona Tests"
"April 5","1775802"
"April 4","1653201"
"April 3","1423914"
"April 2","1291877"
"April 1","1169915"
"March 31","1066383"
"March 30","959393"
"March 29","840763"
"March 28","747676"
"March 27","639723"
"March 26","529074"
"March 25","432683"
"March 24","349146"
"March 23","282755"
"March 22","227425"
"March 21","181206"
"March 20","136392"
"March 19","101009"
"March 18","75266"
"March 17","54084"
"March 16","40406"
"March 15","26076"
"March 14","19774"
"March 13","15777"

