"Date","Total Death"
"April 5","8078"
"April 4","7560"
"April 3","6507"
"April 2","5387"
"April 1","4032"
"March 31","3523"
"March 30","3024"
"March 29","2606"
"March 28","2314"
"March 27","1995"
"March 26","1696"
"March 25","1331"
"March 24","1100"
"March 23","860"
"March 22","674"
"March 21","562"
"March 20","450"
"March 19","372"
"March 18","264"
"March 17","175"
"March 16","148"
"March 15","127"
"March 14","91"
"March 13","79"
